,year,count,authgender,chargender,auth_char_gender
610,1856,138,u,f,u:f
611,1856,86,f,f,f:f
612,1856,46,f,u,f:u
613,1855,2499,m,m,m:m
614,1855,1489,u,m,u:m
615,1855,464,f,f,f:f
616,1855,394,f,m,f:m
617,1855,326,m,f,m:f
618,1855,304,m,u,m:u
619,1855,143,u,u,u:u
620,1855,120,u,f,u:f
621,1855,69,f,u,f:u
622,1854,1814,m,m,m:m
623,1854,1660,u,m,u:m
624,1854,322,f,m,f:m
625,1854,295,u,u,u:u
626,1854,269,u,f,u:f
627,1854,236,m,u,m:u
628,1854,209,m,f,m:f
629,1854,105,f,f,f:f
630,1854,21,f,u,f:u
631,1853,2776,m,m,m:m
632,1853,826,u,m,u:m
633,1853,296,m,u,m:u
634,1853,227,m,f,m:f
635,1853,213,f,m,f:m
636,1853,143,u,u,u:u
637,1853,72,f,f,f:f
638,1853,69,u,f,u:f
639,1853,44,f,u,f:u
640,1852,1825,m,m,m:m
641,1852,1750,u,m,u:m
642,1852,348,f,m,f:m
643,1852,332,u,u,u:u
644,1852,213,m,u,m:u
645,1852,209,u,f,u:f
646,1852,181,m,f,m:f
647,1852,54,f,u,f:u
648,1852,51,f,f,f:f
649,1851,5091,m,m,m:m
650,1851,605,u,m,u:m
651,1851,592,m,u,m:u
652,1851,392,m,f,m:f
653,1851,212,f,m,f:m
654,1851,137,u,f,u:f
655,1851,82,u,u,u:u
656,1851,52,f,f,f:f
657,1851,36,f,u,f:u
658,1850,2342,m,m,m:m
659,1850,1020,u,m,u:m
660,1850,287,m,u,m:u
661,1850,216,f,m,f:m
662,1850,177,m,f,m:f
663,1850,151,u,f,u:f
664,1850,139,u,u,u:u
665,1850,115,f,f,f:f
666,1850,25,f,u,f:u
667,1849,3337,m,m,m:m
668,1849,768,u,m,u:m
669,1849,698,m,u,m:u
670,1849,226,m,f,m:f
671,1849,149,u,f,u:f
672,1849,84,u,u,u:u
673,1849,59,f,m,f:m
674,1849,22,f,f,f:f
675,1849,14,f,u,f:u
676,1848,1970,m,m,m:m
677,1848,687,u,m,u:m
678,1848,240,m,u,m:u
679,1848,139,u,u,u:u
680,1848,75,u,f,u:f
681,1848,64,m,f,m:f
682,1848,52,f,m,f:m
683,1848,37,f,f,f:f
684,1848,4,f,u,f:u
685,1847,2920,m,m,m:m
686,1847,1213,u,m,u:m
687,1847,349,m,u,m:u
688,1847,187,m,f,m:f
689,1847,140,f,m,f:m
690,1847,134,u,u,u:u
691,1847,96,u,f,u:f
692,1847,34,f,u,f:u
693,1847,24,f,f,f:f
694,1846,1686,m,m,m:m
695,1846,628,u,m,u:m
696,1846,270,f,m,f:m
697,1846,220,m,u,m:u
698,1846,122,m,f,m:f
699,1846,61,u,u,u:u
700,1846,51,f,f,f:f
701,1846,27,u,f,u:f
702,1846,20,f,u,f:u
703,1845,2106,m,m,m:m
704,1845,655,u,m,u:m
705,1845,454,f,m,f:m
706,1845,298,m,u,m:u
707,1845,189,m,f,m:f
708,1845,171,f,f,f:f
709,1845,118,u,u,u:u
710,1845,66,u,f,u:f
711,1845,57,f,u,f:u
712,1844,1825,u,m,u:m
713,1844,1708,m,m,m:m
714,1844,843,f,m,f:m
715,1844,464,u,u,u:u
716,1844,384,f,f,f:f
717,1844,224,m,u,m:u
718,1844,178,m,f,m:f
719,1844,147,u,f,u:f
720,1844,118,f,u,f:u
721,1843,1935,m,m,m:m
722,1843,580,u,m,u:m
723,1843,329,m,u,m:u
724,1843,202,m,f,m:f
725,1843,189,f,m,f:m
726,1843,71,u,f,u:f
727,1843,67,u,u,u:u
728,1843,18,f,f,f:f
729,1843,2,f,u,f:u
730,1842,1622,m,m,m:m
731,1842,1316,f,m,f:m
732,1842,1072,u,m,u:m
733,1842,766,f,f,f:f
734,1842,209,m,u,m:u
735,1842,127,u,u,u:u
736,1842,112,f,u,f:u
737,1842,101,m,f,m:f
738,1842,73,u,f,u:f
739,1841,1322,m,m,m:m
740,1841,1297,u,m,u:m
741,1841,419,u,u,u:u
742,1841,204,m,u,m:u
743,1841,151,u,f,u:f
744,1841,117,m,f,m:f
745,1841,82,f,m,f:m
746,1841,30,f,f,f:f
747,1841,28,f,u,f:u
748,1840,1894,m,m,m:m
749,1840,582,u,m,u:m
750,1840,184,m,u,m:u
751,1840,166,f,m,f:m
752,1840,99,m,f,m:f
753,1840,94,u,u,u:u
754,1840,84,u,f,u:f
755,1840,57,f,f,f:f
756,1840,48,f,u,f:u
757,1839,2216,m,m,m:m
758,1839,1057,u,m,u:m
759,1839,353,m,u,m:u
760,1839,232,f,m,f:m
761,1839,156,m,f,m:f
762,1839,130,u,u,u:u
763,1839,129,u,f,u:f
764,1839,98,f,f,f:f
765,1839,37,f,u,f:u
766,1838,2413,m,m,m:m
767,1838,1084,u,m,u:m
768,1838,453,f,m,f:m
769,1838,308,m,u,m:u
770,1838,212,m,f,m:f
771,1838,148,u,f,u:f
772,1838,139,u,u,u:u
773,1838,133,f,f,f:f
774,1838,57,f,u,f:u
775,1837,2319,m,m,m:m
776,1837,846,u,m,u:m
777,1837,304,m,u,m:u
778,1837,169,m,f,m:f
779,1837,156,f,m,f:m
780,1837,133,u,u,u:u
781,1837,99,u,f,u:f
782,1837,34,f,f,f:f
783,1837,20,f,u,f:u
784,1836,2585,m,m,m:m
785,1836,384,u,m,u:m
786,1836,285,m,f,m:f
787,1836,243,m,u,m:u
788,1836,173,f,m,f:m
789,1836,132,u,u,u:u
790,1836,70,u,f,u:f
791,1836,43,f,f,f:f
792,1836,21,f,u,f:u
793,1835,1197,m,m,m:m
794,1835,476,u,m,u:m
795,1835,179,m,u,m:u
796,1835,149,u,u,u:u
797,1835,115,m,f,m:f
798,1835,81,f,m,f:m
799,1835,72,u,f,u:f
800,1835,26,f,f,f:f
801,1835,9,f,u,f:u
802,1834,1511,m,m,m:m
803,1834,1226,u,m,u:m
804,1834,208,m,u,m:u
805,1834,186,u,u,u:u
806,1834,132,m,f,m:f
807,1834,91,u,f,u:f
808,1834,1,f,m,f:m
809,1833,1579,m,m,m:m
810,1833,844,u,m,u:m
811,1833,781,f,m,f:m
812,1833,306,m,f,m:f
813,1833,257,m,u,m:u
814,1833,149,u,u,u:u
815,1833,98,f,u,f:u
816,1833,98,f,f,f:f
817,1833,47,u,f,u:f
818,1832,1666,u,m,u:m
819,1832,1397,m,m,m:m
820,1832,273,f,m,f:m
821,1832,164,u,f,u:f
822,1832,140,m,u,m:u
823,1832,121,u,u,u:u
824,1832,104,m,f,m:f
825,1832,57,f,f,f:f
826,1832,20,f,u,f:u
827,1831,1421,m,m,m:m
828,1831,1170,u,m,u:m
829,1831,270,u,u,u:u
830,1831,209,m,u,m:u
831,1831,151,m,f,m:f
832,1831,103,f,m,f:m
833,1831,83,u,f,u:f
834,1831,27,f,f,f:f
835,1831,24,f,u,f:u
836,1830,1784,m,m,m:m
837,1830,913,u,m,u:m
838,1830,239,m,u,m:u
839,1830,141,m,f,m:f
840,1830,101,u,u,u:u
841,1830,53,f,m,f:m
842,1830,44,u,f,u:f
843,1830,9,f,f,f:f
844,1830,4,f,u,f:u
845,1829,1608,m,m,m:m
846,1829,633,u,m,u:m
847,1829,216,m,u,m:u
848,1829,111,m,f,m:f
849,1829,101,u,u,u:u
850,1829,41,u,f,u:f
851,1829,34,f,m,f:m
852,1829,6,f,f,f:f
853,1829,1,f,u,f:u
854,1828,2176,m,m,m:m
855,1828,439,u,m,u:m
856,1828,234,m,u,m:u
857,1828,196,u,u,u:u
858,1828,124,m,f,m:f
859,1828,35,u,f,u:f
860,1827,1180,m,m,m:m
861,1827,454,u,m,u:m
